AppID,PCI Flag,Findings in Sept - December Logs,Data Classification,NGDC Neighborhood,LOB,PAN Example - For Email,Stated Upstream Source
8AKP,NO,True PAN,CONFIDENTIAL,NH04 - Wealth MGT CDE,WIMT,"DOC_FILE_NM"""", """"oldValue"""": null, """"value"""": """"414718xxxxxx3942 ecar.pdf""""}, {""""name"""": """"CE_OBJ_STOR_ID"""", """"oldV """"DOC_FILE_NM"""", """"oldValue"""": null, """"value"""": """"577442xxxxxx8263_FDR_RTLR___20_20009__20251022000051__.pdf""""}, {""""n el_Review_\u2013_ECMP__06202103082697630_Account__442644xxxxxx9376",
8BCC,NO,True PAN,CONFIDENTIAL,NH04 - Wealth MGT CDE,WIMT,"153025321933"""",""""attributes"""":{""""accountnumber"""":""""434256xxxxxx0981"""",""""accountType"""":""""BANK"""",""""preferences"""":[{""""typ [...]",PCOZ
8DEKT,NO,True PAN,INTERNAL USE,NH08 - Data and Analytics Neighborhood,CDO,"r\nand mm_chd_full_acct_no_chd_account_number in ('533949xxxxxx9912','533949xxxxxx0582')\r\norder by mm_chd_full_acct rds_Customer_Exit_Reason where ACCOUNT_NUMBER in ('414718xxxxxx5471','604870xxxxxx2769')\r\norder by ACCOUNT_NUMBER,as ere icode_business_date='2025-08-31' and acct_num =414718xxxxxx4 [...]",
8EIV,NO,True PAN,CONFIDENTIAL,NH05 - Enterprise Services CDE,EFT,"X Returns EZ 110525 Rev FairShare part of pmt CC 446542xxxxxx3649\\"""",\\""""attribute2\\"""":\\""""JODENE LANE\\"""",\\""""arc X Returns EZ 121525 Rev FairShare part of pmt CC 446540xxxxxx5411\\"""",\\""""attribute2\\"""":\\""""jodene lane\\"""",\\""""arc FTB Interest Accrual JR\\"""",\\""""attribute2\\"""":\\""""445837xxxxxx1741\\"""",\\""""attribute3\\"""":\\""""396911741 [...]",
8NC1,NO,True PAN,CONFIDENTIAL,NH04 - Wealth MGT CDE,WIMT,"IA"""",""""productSubCode"""":""""VP"""",""""accountNumber"""":""""434256xxxxxx4243"""",""""accountStatus"""":""""OPEN"""",""""currentBalance"""":0, IA"""",""""productSubCode"""":""""VP"""",""""accountNumber"""":""""434257xxxxxx5041"""",""""accountStatus"""":""""NOT_ACTIVATED"""",""""currentBal [...]",
8NYD,NO,True PAN,INTERNAL USE,#N/A,CTO,"a349632_00002b5b_694acd8f_2a9f_0007&fullAccountNum=414718xxxxxx7830&connId=084f03a2ed872238"""" rule_number=nw35120 inv_c ATRIC THERAPY CENTER, LLC Business Line of Credit #547464xxxxxx8633"""" action=sendfrom fullname_src=Kinning fullname_src 4466-81ee-911282eacead"""",""""input"""":""""KLEBASH Co [...]",6CWC
8TCLL,NO,True PAN,CONFIDENTIAL,NH08 - Data and Analytics Neighborhood,CDO,"FROM """"Extract"""".""""Extract"""" """"Extract""""\nWHERE (('577442xxxxxx8301' COLLATE """"en_US_CI"""" = """"Extract"""".""""ACCT_NUM"""") FROM """"Extract"""".""""Extract"""" """"Extract""""\nWHERE (('577442xxxxxx8269' COLLATE """"en_US_CI"""" = """"Extract"""".""""ACCT_NUM"""")",
8TCU,NO,True PAN,CONFIDENTIAL,NH03 - Digital Channels CDE,DTI,"HelperMethod=""""WBAccountNumber"""" /> Value Returned: '446539xxxxxx4924' """" /> Value Returned: '558668xxxxxx8908' Return Value: '414718xxxxxx6852'",
8XE3,YES,Updated BAM,CONFIDENTIAL,NH05 - Enterprise Services CDE,TCOO,"QxNi50Y2ljcnlwdG92ZXJzaW9uMy44LjA)/children?locate=414718xxxxxx3954&count=200&timestamp=1761686516033 HTTP/1.1"""" 200 11",
9CPC,NO,True PAN,CONFIDENTIAL,NH04 - Wealth MGT CDE,WIMT,"ayToAccount"""":{""""accountKey"""":{""""accountNumber"""":""""577442xxxxxx1319"""",""""cardReferenceNumber"""":""""500691xxxxxx1319"""",""""a [...]",EC
6CWC,NO,True PAN,CONFIDENTIAL,NH04 - Wealth MGT CDE,WIMT,"l,inputSearchOption=""""Account"""",inputAccountNumbers=""""434256xxxxxx8608""""",KTCZP
6IVC,NO,True PAN,CONFIDENTIAL,NH04 - Wealth MGT CDE,WIMT,"""""slaViolationIndicator"""":false,""""accountNumber"""":""""414718xxxxxx7387""""},""""headerInformation"""":{""""senderApplicationId"""": ,""""auditColumn1"""":""""12196376"""",""""accountNumber"""":""""473702xxxxxx2532"""",""""assignedUserFullName"""":"""""""",""""slaViolationIndi"""" , ""1DCC [...]",8BRC
6PNXRO,NO,True PAN,CONFIDENTIAL,NH04 - Wealth MGT CDE,WIMT,"DOC_FILE_NM"""", """"oldValue"""": null, """"value"""": """"577442xxxxxx3581_FDR_CARDS___20_20009__20251126000024__.pdf""""}, {",PCOZ
6PNXUI,NO,True PAN,CONFIDENTIAL,NH04 - Wealth MGT CDE,WIMT,",""""xivDefaultIndicator"""":false,""""accountNumber"""":""""407221xxxxxx7837"""",""""accountName"""":""""VISA SIGNATURE?? CARD"""",""""acco [...]",
HCV369,NO,True PAN,INTERNAL USE,NH01 - Tech Enablement CDE,CTO,"ype=INTERNAL_BANK, householdId=44986323, accountId=414718xxxxxx3342, vendor1AccountId=null, financialAccount=null, per tail=InternalBankLiabilityDetail(bankAccountNumber=414718xxxxxx3342, accountDescription=LOUANN ZAWATSKI, accountIntere [...]",
HNULL,NO,True PAN,CONFIDENTIAL,NH14 - PAA (DMZ) CDE,DTI,"2533\\"""",\\""""accountList\\"""":[{\\""""acctNbr\\"""":\\""""558668xxxxxx7166\\"""",\\""""productCode\\"""":\\""""XCC\\"""",\\""""companyNum <EOL> companyNumber: 448<EOL> accountNumber: 414718xxxxxx5278<EOL> hoganPro (truncated)...]"""",""""workflowRunId"""": ndingService -- Account number for company Account 558668xxxxxx9594"""",""""workflowRun [...]",
HOGCN,NO,True PAN,CONFIDENTIAL,,,"""""atic_msg=""""Offer is not eligible"""" accountNumber=""""414718xxxxxx9085"""" offerKey=""""22061015838"""""""",""""name"""":""""com.wellsfargo""",
HTOKM,NO,True PAN,INTERNAL USE,NH09 - Assisted Channels CDE,CT,"VisaÃ‚Â® Card"""",""""status"""":""""OPEN"""",""""acctNumber"""":""""446542xxxxxx5653"""",""""companyNumber"""":""""448"""",""""productType"""":""""VI"""" uctName"""":""""Platinum Debit Card"""",""""acctNumber"""":""""473702xxxxxx0845"""",""""companyNumber"""":""""297"""",""""productType"""":""""PIA [...]",User Entry
IODMM,NO,True PAN,INTERNAL USE,#N/A,CT,"VisaÃ‚Â® Card"""",""""status"""":""""OPEN"""",""""acctNumber"""":""""446542xxxxxx5653"""",""""companyNumber"""":""""448"""",""""productType"""":""""VI"""" uctName"""":""""Platinum Debit Card"""",""""acctNumber"""":""""473702xxxxxx0845"""",""""companyNumber"""":""""297"""",""""productType"""":""""PIA [...]",
